global_idx	min_dist	q
11107	4.080	+0.0569
3895	4.395	+0.0231
5932	5.189	-0.0169
11297	4.277	-0.0219
11178	4.922	+0.0384
5299	4.319	-0.0178
7335	4.671	-0.0403
10372	3.435	+0.0268
4525	3.032	-0.0400
13076	3.842	-0.0259
9801	4.829	+0.0614
2587	4.389	+0.0168
2540	4.532	+0.0263
3867	4.153	+0.0322
5265	4.781	-0.0141
3348	4.115	+0.0278
3245	4.706	+0.0261
3838	3.925	+0.0253
12520	4.096	-0.0271
5341	5.405	-0.0162
11771	2.868	+0.0545
6560	5.095	-0.0187
10435	4.221	+0.0377
11160	4.849	+0.0562
11934	3.583	+0.0373
12421	3.255	+0.0190
11250	3.440	-0.0021
11868	4.342	-0.0085
2561	4.516	-0.0066
11278	3.862	+0.0273
5895	4.750	-0.0239
3209	4.881	-0.0524
4612	4.074	-0.0623
4528	3.865	+0.0384
4034	4.742	+0.0054
5323	5.508	-0.0140
12560	4.384	-0.0306
4780	4.758	-0.0023
8392	2.986	+0.0491
11330	3.553	+0.0795
4722	5.021	-0.0126
3912	4.280	-0.0773
9112	4.765	-0.0103
10397	3.776	-0.0365
5431	4.864	-0.0228
9044	3.514	+0.0278
10374	3.639	-0.0486
3300	4.569	+0.0258
5206	4.080	+0.0303
7167	4.926	-0.0368
8595	5.031	-0.0039
11910	3.859	+0.0071
13179	3.655	-0.0384
7102	2.792	+0.0544
7944	5.064	-0.0123
2641	4.242	+0.0521
2592	4.390	+0.0424
3135	4.140	-0.0344
13201	3.888	-0.0516
5467	3.793	+0.0030
9045	3.777	+0.0099
10023	4.380	-0.0095
9180	5.141	+0.0628
11196	4.880	+0.0183
9092	4.574	-0.0403
11212	3.171	+0.0364
9726	4.024	-0.0510
5835	3.899	+0.0404
7103	3.117	+0.0508
7238	5.235	+0.0106
10001	4.095	+0.0425
7148	4.711	-0.0399
3136	4.112	-0.0066
8395	3.829	+0.0058
2613	4.373	+0.0328
6592	4.147	+0.0265
6485	4.284	+0.0087
7746	3.626	+0.0229
4760	4.893	-0.0101
6754	4.452	-0.0242
10630	3.947	-0.0297
5359	5.392	-0.0190
10686	4.017	+0.0334
2566	4.516	+0.0364
3355	4.428	+0.0345
3377	3.850	+0.0372
11303	3.720	+0.0552
13156	3.984	-0.0419
10687	3.912	+0.0505
2644	4.243	+0.0548
10608	3.514	-0.0214
11955	4.314	-0.0185
7218	3.785	+0.0399
9867	5.282	+0.0455
2513	4.551	-0.0164
10572	4.683	-0.0024
5449	4.619	-0.0141
6632	5.545	-0.0082
11021	3.579	-0.0188
13203	3.544	-0.0178
10028	4.067	+0.0541
2514	4.526	+0.0024
3319	4.314	+0.0113
12585	4.311	-0.0302
6042	5.118	-0.0315
6772	3.895	-0.0081
12616	3.631	+0.0105
9850	5.298	+0.0605
2618	4.373	+0.0452
8478	4.994	+0.0072
8702	4.286	+0.0141
12359	3.604	-0.0225
3218	4.886	+0.0242
5181	2.986	+0.0191
7827	5.027	-0.0083
9746	3.324	+0.0527
9043	3.378	+0.0378
12617	3.514	+0.0267
12564	3.715	+0.0016
6614	5.452	-0.0037
11143	4.790	+0.0631
12423	3.807	+0.0116
5910	3.632	-0.0318
11885	3.643	+0.0054
5182	3.291	+0.0376
3134	4.183	-0.0599
3382	4.412	+0.0417
9354	3.798	-0.0336
9246	5.095	+0.0035
12538	4.119	-0.0162
9899	2.888	+0.0321
2536	4.743	-0.0297
11772	4.176	+0.0444
7304	5.192	-0.0186
3834	3.523	-0.0826
5304	5.403	-0.0127
11690	3.762	-0.0045
13033	4.000	-0.0312
11255	4.236	+0.0032
4119	3.605	+0.0359
4075	4.711	+0.0109
10685	4.238	+0.0137
3923	4.832	+0.0110
9046	4.117	-0.0100
11732	3.135	+0.0368
9884	5.246	+0.0254
11962	3.570	+0.0579
7104	3.551	+0.0349
4618	5.012	-0.0043
8420	4.883	-0.0454
3137	4.202	+0.0135
7770	4.807	-0.0373
9935	4.739	-0.0094
4524	3.040	-0.0645
5413	5.106	-0.0256
6649	5.479	-0.0149
8512	5.169	+0.0402
7861	5.200	+0.0224
13157	3.793	-0.0443
6701	4.911	-0.0366
2512	4.682	-0.0341
3158	4.398	-0.0856
4571	3.586	-0.0998
11124	2.795	+0.0730
4798	4.352	+0.0058
12592	3.567	+0.0263
11067	3.153	+0.0467
11020	3.705	-0.0030
10688	3.930	+0.0589
10635	4.110	+0.0310
11986	3.767	+0.0294
10518	3.203	+0.0710
11711	3.509	+0.0226
2541	4.743	+0.0291
11987	3.654	+0.0467
12615	3.874	-0.0055
3839	4.139	+0.0303
5280	4.103	-0.0326
6131	3.575	-0.0014
6094	4.750	-0.0279
8661	4.466	-0.0186
5180	2.825	-0.0074
5983	4.042	-0.0045
8011	4.503	-0.0285
12479	3.843	+0.0190
3328	4.660	+0.0230
13054	3.864	-0.0181
2515	4.608	+0.0162
4097	4.607	+0.0186
9260	2.976	-0.0103
9130	5.059	+0.0221
9361	4.361	+0.0308
11214	4.784	+0.0045
10501	3.184	+0.0795
7185	5.155	-0.0178
7408	4.418	-0.0097
2668	4.340	+0.0550
10613	4.353	+0.0081
4529	4.103	+0.0361
9767	4.577	+0.0025
9695	3.772	+0.0109
2640	4.467	+0.0380
5964	4.323	+0.0058
12460	3.593	+0.0248
3984	4.525	-0.0173
12618	3.534	+0.0365
5378	5.468	-0.0213
2669	4.340	+0.0553
13228	3.761	-0.0214
6526	4.922	-0.0288
5183	3.705	+0.0416
6460	2.871	+0.0440
6077	4.898	-0.0325
9696	3.931	-0.0054
9834	5.297	+0.0638
3183	4.691	-0.0700
9748	4.378	-0.0280
10654	4.257	-0.0261
11088	2.905	+0.0576
13229	3.648	-0.0105
6461	3.187	+0.0470
6596	5.449	-0.0028
6507	4.707	-0.0246
11324	4.538	-0.0137
3165	4.526	+0.0259
9072	4.594	-0.0453
3961	4.951	-0.0264
4120	3.907	+0.0304
12541	4.102	-0.0151
10535	3.128	+0.0541
8681	4.415	-0.0052
10371	3.676	+0.0327
12380	3.631	+0.0059
7127	4.699	-0.0231
8396	4.306	-0.0136
8031	4.452	-0.0173
3406	3.871	+0.0449
9164	5.232	+0.0525
2586	4.712	+0.0043
11985	4.001	+0.0105
11889	4.348	-0.0057
7221	5.324	+0.0057
6002	3.645	-0.0255
12498	4.022	+0.0110
3407	4.033	+0.0458
10452	4.748	+0.0553
11734	3.754	+0.0120
6574	4.148	+0.0153
2645	4.468	+0.0440
4055	4.929	+0.0028
10588	3.328	-0.0047
3859	3.903	-0.0994
5914	5.251	-0.0168
11825	3.658	+0.0449
4742	5.199	-0.0135
2560	4.830	-0.0152
9314	4.538	-0.0057
4577	4.661	+0.0051
8493	3.237	+0.0610
4006	4.174	-0.0177
7842	3.529	+0.0448
7371	4.646	-0.0323
9042	3.385	+0.0390
8611	5.053	-0.0146
11988	3.673	+0.0557
13751	3.578	-0.0633
7960	5.086	-0.0207
13056	3.674	-0.0251
2667	4.451	+0.0475
13115	4.257	-0.0143
9694	3.739	+0.0231
11230	3.397	+0.0153
11752	3.050	+0.0466
3133	4.189	-0.0746
4675	4.316	-0.0182
4554	4.434	+0.0171
11044	3.662	+0.0325
11807	3.394	+0.0511
13227	3.995	-0.0295
12400	3.417	+0.0186
13200	4.269	-0.0423
5228	4.629	-0.0028
10022	4.231	-0.0228
9902	5.239	+0.0080
4818	3.736	+0.0157
11331	3.838	+0.0622
10684	4.556	-0.0033
4592	3.970	-0.0707
6666	5.408	-0.0209
8643	4.728	-0.0237
3192	4.851	+0.0214
13095	4.033	-0.0092
8074	3.749	-0.0071
7993	4.763	-0.0304
10484	3.043	+0.0789
10375	3.926	-0.0427
2612	4.697	+0.0173
13177	4.313	-0.0373
10663	4.099	+0.0473
3262	4.928	-0.0124
2670	4.451	+0.0491
4654	4.760	-0.0193
9971	3.593	-0.0426
9697	4.202	-0.0204
2593	4.713	+0.0325
11126	4.728	+0.0566
5468	4.314	-0.0049
8728	4.175	+0.0083
3885	4.182	-0.0835
12482	4.532	-0.0023
9719	3.775	+0.0416
3405	3.831	+0.0359
13230	3.668	-0.0015
5945	4.566	+0.0038
5836	4.392	+0.0186
3376	4.060	+0.0150
12440	3.469	+0.0275
6462	3.613	+0.0381
6112	4.689	-0.0178
9334	4.488	+0.0093
9047	4.487	-0.0244
2511	4.910	-0.0452
7389	4.597	-0.0233
11843	3.669	+0.0340
5285	5.371	-0.0119
7105	4.060	+0.0144
11019	3.803	+0.0100
3235	5.171	-0.0266
3138	4.404	+0.0217
10416	3.087	+0.0557
3347	4.186	+0.0042
2567	4.831	+0.0296
12463	4.544	+0.0082
10521	5.386	+0.0385
11928	4.241	-0.0174
3938	4.815	-0.0408
12614	4.219	-0.0158
13135	4.381	-0.0186
3408	4.305	+0.0397
13690	3.666	-0.0519
4696	3.946	-0.0265
11090	4.245	+0.0284
3868	4.576	+0.0193
10689	4.070	+0.0563
5989	5.832	-0.0122
9145	3.080	+0.0689
12358	4.080	-0.0061
9263	5.117	-0.0078
3969	5.366	+0.0018
13204	3.830	-0.0132
7200	3.925	+0.0237
9916	3.134	+0.0052
