grid_idx	shell	dV	q
1058	11.0	-0.000724	+1.0000
1059	11.0	+0.000904	-1.0000
1060	12.0	-0.000748	+1.0000
1061	12.0	+0.000497	-1.0000
1063	15.0	+0.000362	-1.0000
1068	12.0	-0.000771	+1.0000
1069	11.0	-0.000399	+1.0000
1071	10.0	-0.000884	+1.0000
1072	13.0	-0.000436	+1.0000
1074	9.0	-0.000540	+1.0000
1075	15.0	-0.000364	+1.0000
1076	11.0	-0.000821	+1.0000
1078	14.0	-0.000391	+1.0000
1080	11.0	+0.000535	-1.0000
1083	12.0	-0.000421	+1.0000
1084	11.0	-0.000401	+1.0000
1088	13.0	-0.000350	+1.0000
1091	11.0	+0.000419	-1.0000
1092	15.0	-0.000479	+1.0000
1093	14.0	+0.000504	-1.0000
1094	11.0	+0.000520	-1.0000
1095	14.0	+0.000617	-1.0000
1100	14.0	-0.000592	+1.0000
1101	14.0	+0.000482	-1.0000
1103	11.0	+0.000398	-1.0000
1104	13.0	+0.000625	-1.0000
1106	11.0	+0.000518	-1.0000
1109	15.0	+0.000354	-1.0000
1112	12.0	+0.000634	-1.0000
1114	15.0	-0.000523	+1.0000
1119	15.0	-0.000512	+1.0000
1121	14.0	+0.000322	-1.0000
1122	13.0	+0.000573	-1.0000
1124	12.0	-0.000472	+1.0000
1125	12.0	+0.000410	-1.0000
1127	13.0	+0.000701	-1.0000
1128	9.0	-0.001060	+1.0000
1129	11.0	+0.000781	-1.0000
1135	13.0	+0.000612	-1.0000
1137	11.0	-0.000700	+1.0000
1138	10.0	-0.000396	+1.0000
1139	9.0	-0.000816	+1.0000
1144	12.0	+0.000864	-1.0000
1146	9.0	+0.001301	-1.0000
1149	15.0	+0.000348	-1.0000
1151	12.0	-0.000685	+1.0000
1152	9.0	-0.001018	+1.0000
1154	14.0	+0.000509	-1.0000
1155	11.0	-0.000648	+1.0000
1158	15.0	+0.000341	-1.0000
1159	11.0	-0.000391	+1.0000
1163	11.0	+0.000968	-1.0000
1166	12.0	+0.000382	-1.0000
1167	13.0	-0.000505	+1.0000
1170	11.0	-0.000499	+1.0000
1172	9.0	-0.000582	+1.0000
1173	15.0	+0.000338	-1.0000
1174	11.0	+0.000436	-1.0000
1179	12.0	+0.000427	-1.0000
1180	13.0	+0.000750	-1.0000
1181	11.0	+0.000548	-1.0000
1183	12.0	-0.000587	+1.0000
1185	15.0	+0.000531	-1.0000
1186	13.0	-0.000555	+1.0000
1193	10.0	-0.000632	+1.0000
1194	12.0	-0.000419	+1.0000
1196	9.0	-0.001137	+1.0000
1198	12.0	+0.000690	-1.0000
1200	15.0	+0.000509	-1.0000
1202	9.0	-0.000431	+1.0000
1203	10.0	+0.000481	-1.0000
1205	12.0	+0.000724	-1.0000
1206	11.0	+0.000761	-1.0000
1207	13.0	-0.000623	+1.0000
1214	15.0	+0.000518	-1.0000
1215	12.0	+0.000538	-1.0000
1217	14.0	+0.000518	-1.0000
1220	13.0	-0.000394	+1.0000
1221	9.0	+0.000771	-1.0000
1222	9.0	-0.000610	+1.0000
1224	15.0	-0.000391	+1.0000
1228	9.0	+0.000574	-1.0000
1229	14.0	+0.000642	-1.0000
1231	10.0	-0.000439	+1.0000
1235	12.0	+0.000753	-1.0000
1236	11.0	+0.000575	-1.0000
1237	14.0	+0.000360	-1.0000
1239	9.0	-0.001195	+1.0000
1247	12.0	-0.000710	+1.0000
1248	12.0	-0.000469	+1.0000
1249	12.0	+0.000351	-1.0000
1253	9.0	+0.000867	-1.0000
1256	13.0	+0.000455	-1.0000
1257	10.0	-0.001001	+1.0000
1260	11.0	-0.000402	+1.0000
1261	10.0	-0.000607	+1.0000
1262	11.0	+0.000952	-1.0000
